year,month,day,plane_id,scheduled_departure_time_HHMM,actual_departure_time_HHMM,scheduled_arrival_time_HHMM,actual_arrival_time_HHMM,airline_id,origin_airport,destination_airport,distance,pilot_id,pilot_first_name,pilot_last_name
2013,12,17,N817MQ,1800,1856,1940,2112,MQ,LGA,RDU,431.4,P0001,Mr. Owen Harris,Braund
2013,12,30,N821MQ,1355,1353,1555,1556,MQ,LGA,DTW,502.1,P0002,Mrs. John Bradley,Cumings
2013,12,1,M715JB,2359,13,445,446,B6,JFK,PSE,1617.1,P0003,Miss. Laina,Heikkinen
2013,12,1,M593JB,2359,17,437,443,B6,JFK,BQN,1576.6,P0004,Mrs. Jacques Heath,Futrelle
2013,12,1,N197UW,500,453,651,636,US,EWR,CLT,529.5,P0005,Mr. Michael Henry,Allen
2013,12,1,M69804,515,520,808,749,UA,EWR,IAH,1400.8,P0006,Mr. James,Moran
2013,12,1,M634AA,540,536,850,845,AA,JFK,MIA,1089.7,P0007,Mr. Timothy J,McCarthy
2013,12,1,M821JB,550,540,1027,1005,B6,JFK,BQN,1576.6,P0008,Master. Gosta Leonard,Palsson
2013,12,1,N13968,545,541,755,734,EV,EWR,CVG,569,P0009,Mrs. Oscar W,Johnson
2013,12,1,N23708,545,546,835,826,UA,LGA,IAH,1416,P0010,Mrs. Nicholas,Nasser
2013,12,1,M945UW,600,549,659,648,US,LGA,DCA,214.4,P0011,Miss. Marguerite Rut,Sandstrom
2013,12,1,M706JB,600,550,854,825,B6,EWR,FLL,1065.9,P0012,Miss. Elizabeth,Bonnell
2013,12,1,M779JB,600,554,849,827,B6,JFK,PBI,1028.1,P0013,Mr. Anders Johan,Saundercock
2013,12,1,N14904,601,554,811,748,EV,EWR,CLT,529.3,P0014,Miss. Hulda Amanda Adolfina,Andersson
2013,12,1,M820AS,600,554,719,712,EV,LGA,IAD,229.6,P0015,Mrs. Megan,Vestrom
2013,12,1,M947UW,600,554,705,645,US,LGA,PHL,96.8,P0016,Master. Eugene,Hewlett
2013,12,1,N386DA,600,555,827,805,DL,LGA,ATL,762.9,P0017,Mr. Charles Eugene,Rice
2013,12,1,M583JB,600,556,846,846,B6,JFK,MCO,944.7,P0018,Mrs. Julius,Williams
2013,12,1,N332NB,600,556,756,742,DL,EWR,DTW,488.3,P0019,Mrs. Fatima,Vander Planke
